indicativo,fecha,tmax,tmin,tmed,tmed_derivada,hrMax,hrMedia,hrMin,velmedia,racha,prec,prec_0707,sol,n_horas,completo
5164B,2026-07-28 00:00:00+00:00,40.4,29.2,35.61,34.8,31.0,24.3,17.0,1.95,6.2,0.0,0.0,,13,False
5165X,2026-07-28 00:00:00+00:00,37.9,29.8,34.93,33.85,33.0,25.9,22.0,,,0.0,0.0,,11,False
5181D,2026-07-28 00:00:00+00:00,41.3,28.7,36.8,35.0,32.0,19.7,14.0,2.55,6.9,0.0,0.0,,13,False
5192,2026-07-28 00:00:00+00:00,39.3,29.7,34.6,34.5,29.0,18.4,12.0,3.04,8.6,0.0,0.0,576.0,13,False
5210X,2026-07-28 00:00:00+00:00,40.5,28.7,36.29,34.6,42.0,27.2,21.0,1.57,5.5,0.0,0.0,,12,False
5246,2026-07-28 00:00:00+00:00,39.3,28.3,34.95,33.8,30.0,20.7,15.0,1.95,6.3,0.0,0.0,588.0,13,False
5270B,2026-07-28 00:00:00+00:00,39.4,30.4,35.55,34.9,28.0,21.8,18.0,2.6,7.1,0.0,0.0,573.7,13,False
5281X,2026-07-28 00:00:00+00:00,40.8,28.8,36.82,34.8,40.0,26.4,20.0,1.42,6.3,0.0,0.0,,12,False
5298X,2026-07-28 00:00:00+00:00,41.8,31.3,37.04,36.55,29.0,22.8,17.0,3.0,7.6,0.0,0.0,,12,False
5304Y,2026-07-28 00:00:00+00:00,39.8,30.7,36.51,35.25,24.0,16.4,12.0,1.85,6.4,0.0,0.0,,12,False
5341C,2026-07-28 00:00:00+00:00,39.2,32.5,36.48,35.85,24.0,19.6,16.0,2.27,6.8,0.0,0.0,,10,False
5346X,2026-07-28 00:00:00+00:00,38.6,30.2,35.77,34.4,29.0,23.9,19.0,,,0.0,0.0,,11,False
5361X,2026-07-28 00:00:00+00:00,41.4,31.2,38.14,36.3,31.0,21.5,17.0,1.89,7.0,0.0,0.0,,11,False
5390Y,2026-07-28 00:00:00+00:00,37.7,27.7,34.22,32.7,24.0,19.2,15.0,2.56,7.5,0.0,0.0,516.0,12,False
5394X,2026-07-28 00:00:00+00:00,38.6,27.3,34.49,32.95,35.0,24.3,18.0,2.57,7.9,0.0,0.0,,12,False
5402,2026-07-28 00:00:00+00:00,40.3,30.0,36.5,35.15,26.0,18.0,14.0,2.57,7.2,0.0,0.0,602.0,12,False
5406X,2026-07-28 00:00:00+00:00,38.4,26.0,33.74,32.2,41.0,28.1,21.0,1.88,10.5,0.0,0.0,,12,False
5412X,2026-07-28 00:00:00+00:00,37.5,28.6,34.51,33.05,35.0,28.2,25.0,4.33,9.4,0.0,0.0,,12,False
5427X,2026-07-28 00:00:00+00:00,36.4,26.6,32.46,31.5,34.0,27.8,23.0,3.33,9.2,0.0,0.0,,12,False
5429X,2026-07-28 00:00:00+00:00,39.4,30.0,36.05,34.7,31.0,24.4,20.0,2.71,7.3,0.0,0.0,,12,False
5459X,2026-07-28 00:00:00+00:00,39.2,28.6,36.39,33.9,32.0,24.9,21.0,1.65,6.1,0.0,0.0,,11,False
5470,2026-07-28 00:00:00+00:00,39.9,30.4,36.72,35.15,31.0,21.8,16.0,2.76,7.3,0.0,0.0,,11,False
5473X,2026-07-28 00:00:00+00:00,37.6,29.3,34.78,33.45,27.0,20.2,17.0,3.04,8.9,0.0,0.0,,12,False
5511,2026-07-28 00:00:00+00:00,21.0,16.9,18.97,18.95,44.0,35.1,28.0,3.88,10.6,,,,12,False
5514Z,2026-07-28 00:00:00+00:00,37.3,24.0,33.19,30.65,45.0,28.6,20.0,4.32,9.1,0.0,0.0,582.2,12,False
5515D,2026-07-28 00:00:00+00:00,35.0,25.3,31.22,30.15,38.0,28.9,22.0,3.38,9.1,0.0,0.0,,12,False
5515X,2026-07-28 00:00:00+00:00,38.9,27.5,34.18,33.2,43.0,29.2,21.0,1.17,5.2,0.0,0.0,,12,False
5516D,2026-07-28 00:00:00+00:00,22.8,18.7,20.2,20.75,45.0,33.1,23.0,3.77,14.0,,,,12,False
5530E,2026-07-28 00:00:00+00:00,39.8,28.9,35.48,34.35,37.0,24.6,16.0,3.6,9.3,0.0,0.0,577.0,12,False
5582A,2026-07-28 00:00:00+00:00,38.9,27.3,34.15,33.1,31.0,22.8,17.0,2.46,6.9,0.0,0.0,,12,False
5598X,2026-07-28 00:00:00+00:00,36.0,26.1,32.46,31.05,35.0,28.8,25.0,5.41,12.7,0.0,0.0,,12,False
5612B,2026-07-28 00:00:00+00:00,35.3,25.9,32.09,30.6,38.0,23.0,16.0,5.04,13.0,0.0,0.0,547.0,12,False
5612X,2026-07-28 00:00:00+00:00,34.6,28.5,32.29,31.55,38.0,26.8,22.0,,,0.0,0.0,,11,False
5624X,2026-07-28 00:00:00+00:00,37.8,29.7,34.62,33.75,34.0,27.1,21.0,3.52,9.5,0.0,0.0,,11,False
5625X,2026-07-28 00:00:00+00:00,39.7,30.8,36.32,35.25,36.0,28.9,25.0,2.78,8.6,0.0,0.0,,11,False
5641X,2026-07-28 00:00:00+00:00,39.7,31.0,36.25,35.35,31.0,20.3,13.0,4.84,12.5,0.0,0.0,,12,False
5654X,2026-07-28 00:00:00+00:00,39.8,27.1,35.88,33.45,37.0,26.5,21.0,2.36,10.8,0.0,0.0,,12,False
5656,2026-07-28 00:00:00+00:00,40.3,33.3,37.55,36.8,30.0,20.1,16.0,3.13,7.9,0.0,0.0,,11,False
5702X,2026-07-28 00:00:00+00:00,40.3,30.6,37.06,35.45,45.0,24.1,15.0,2.97,8.7,0.0,0.0,,11,False
5704B,2026-07-28 00:00:00+00:00,36.8,26.3,33.19,31.55,41.0,23.2,17.0,2.2,7.5,0.0,0.0,,12,False
5726X,2026-07-28 00:00:00+00:00,31.0,28.4,31.0,29.7,26.0,26.0,26.0,3.4,6.6,0.0,0.0,,1,False
5733X,2026-07-28 00:00:00+00:00,37.9,29.5,34.62,33.7,45.0,22.3,14.0,2.22,6.4,0.0,0.0,,11,False
5769X,2026-07-28 00:00:00+00:00,36.7,28.6,33.98,32.65,47.0,28.4,22.0,1.0,6.2,0.0,0.0,,11,False
5783,2026-07-28 00:00:00+00:00,40.7,29.1,36.31,34.9,53.0,29.8,18.0,3.56,10.3,0.0,0.0,580.0,12,False
5788X,2026-07-28 00:00:00+00:00,39.2,27.3,34.34,33.25,62.0,32.6,18.0,2.58,7.8,0.0,0.0,,12,False
5790Y,2026-07-28 00:00:00+00:00,40.1,28.9,35.97,34.5,59.0,35.1,24.0,2.13,7.7,0.0,0.0,,12,False
5796,2026-07-28 00:00:00+00:00,40.0,27.5,35.6,33.75,62.0,26.6,17.0,1.77,9.7,0.0,0.0,,12,False
5835X,2026-07-28 00:00:00+00:00,38.6,30.4,35.56,34.5,54.0,32.5,23.0,2.87,9.5,0.0,0.0,,11,False
5860E,2026-07-28 00:00:00+00:00,30.1,22.7,26.0,26.4,90.0,68.8,43.0,2.62,8.0,0.0,0.0,,12,False
5860H,2026-07-28 00:00:00+00:00,35.1,22.9,28.9,29.0,89.0,58.8,30.0,4.02,8.8,0.0,0.0,,12,False
5906X,2026-07-28 00:00:00+00:00,36.3,26.5,33.16,31.4,69.0,38.9,25.0,5.44,13.2,0.0,0.0,,11,False
5910X,2026-07-28 00:00:00+00:00,35.5,25.8,32.42,30.65,76.0,48.9,40.0,,,0.0,0.0,,11,False
5911A,2026-07-28 00:00:00+00:00,32.6,24.7,30.02,28.65,23.0,20.8,16.0,1.44,7.3,0.0,0.0,,12,False
5911X,2026-07-28 00:00:00+00:00,31.9,27.4,29.77,29.65,22.0,20.7,20.0,3.93,8.7,0.0,0.0,,3,False
5919X,2026-07-28 00:00:00+00:00,38.0,30.4,34.8,34.2,27.0,23.2,18.0,2.05,6.4,0.0,0.0,,11,False
5941X,2026-07-28 00:00:00+00:00,34.9,27.6,32.53,31.25,52.0,35.8,26.0,4.71,10.9,0.0,0.0,,11,False
5950X,2026-07-28 00:00:00+00:00,31.3,28.9,30.67,30.1,39.0,37.3,36.0,3.73,10.6,0.0,0.0,,3,False
5960,2026-07-28 00:00:00+00:00,36.9,26.9,33.55,31.9,65.0,38.9,28.0,4.02,10.3,0.0,0.0,593.0,12,False
5972X,2026-07-28 00:00:00+00:00,35.2,27.0,32.42,31.1,63.0,45.4,37.0,3.63,11.6,0.0,0.0,,12,False
5972Y,2026-07-28 00:00:00+00:00,34.5,27.3,31.72,30.9,65.0,49.0,42.0,3.01,10.9,0.0,0.0,,12,False
5973,2026-07-28 00:00:00+00:00,31.9,24.9,29.03,28.4,83.0,63.4,53.0,6.74,11.2,0.0,0.0,,12,False
5983X,2026-07-28 00:00:00+00:00,32.9,26.6,30.68,29.75,69.0,51.7,42.0,8.76,15.7,0.0,0.0,,11,False
5996B,2026-07-28 00:00:00+00:00,32.7,25.0,29.14,28.85,83.0,64.8,51.0,7.34,14.7,0.0,0.0,,11,False
5998X,2026-07-28 00:00:00+00:00,37.0,31.8,34.85,34.4,30.0,23.5,17.0,5.08,11.8,0.0,0.0,,11,False
6000A,2026-07-28 00:00:00+00:00,29.5,25.8,27.76,27.65,82.0,77.8,73.0,3.36,8.1,0.0,0.0,313.7,12,False
6001,2026-07-28 00:00:00+00:00,29.0,24.9,27.17,26.95,87.0,75.9,70.0,10.53,20.4,0.0,0.0,,12,False
6032X,2026-07-28 00:00:00+00:00,33.9,27.2,31.44,30.55,37.0,30.6,25.0,2.81,9.2,0.0,0.0,,11,False
6040X,2026-07-28 00:00:00+00:00,34.2,23.6,29.73,28.9,78.0,47.2,27.0,1.37,7.1,0.0,0.0,,12,False
6042I,2026-07-28 00:00:00+00:00,30.9,26.1,29.32,28.5,75.0,60.7,52.0,4.98,12.1,0.0,0.0,,11,False
6045X,2026-07-28 00:00:00+00:00,32.2,24.9,29.74,28.55,58.0,43.2,39.0,3.09,10.3,0.0,0.0,,11,False
6050X,2026-07-28 00:00:00+00:00,31.0,22.6,28.15,26.8,73.0,49.4,35.0,2.56,7.7,0.0,0.0,,11,False
6056X,2026-07-28 00:00:00+00:00,28.7,24.0,26.18,26.35,86.0,79.5,75.0,2.07,4.7,0.0,0.0,,11,False
6057X,2026-07-28 00:00:00+00:00,30.6,25.1,28.55,27.85,78.0,66.9,62.0,3.83,9.7,0.0,0.0,,11,False
6058I,2026-07-28 00:00:00+00:00,32.4,25.6,29.49,29.0,61.0,50.0,43.0,2.64,6.6,0.0,0.0,382.0,12,False
6069X,2026-07-28 00:00:00+00:00,29.3,23.1,26.95,26.2,69.0,54.8,43.0,1.72,7.4,0.0,0.0,,12,False
6076X,2026-07-28 00:00:00+00:00,28.9,24.3,26.33,26.6,78.0,71.6,65.0,2.75,7.2,0.0,0.0,,11,False
6083X,2026-07-28 00:00:00+00:00,29.9,25.7,27.38,27.8,76.0,71.0,59.0,2.14,7.0,0.0,0.0,,12,False
6088X,2026-07-28 00:00:00+00:00,31.3,28.2,29.91,29.75,56.0,46.5,39.0,1.72,6.6,0.0,0.0,,11,False
6100B,2026-07-28 00:00:00+00:00,36.1,27.7,32.78,31.9,29.0,24.9,20.0,,,0.0,0.0,,12,False
6106X,2026-07-28 00:00:00+00:00,33.9,27.1,31.17,30.5,45.0,26.5,22.0,3.26,10.4,0.0,0.0,,12,False
6127X,2026-07-28 00:00:00+00:00,33.3,27.8,31.19,30.55,57.0,38.6,30.0,5.95,11.8,0.0,0.0,,11,False
6143X,2026-07-28 00:00:00+00:00,33.3,26.2,30.29,29.75,51.0,38.3,27.0,,,0.0,0.0,,12,False
6155A,2026-07-28 00:00:00+00:00,32.0,26.9,30.16,29.45,62.0,52.1,42.0,3.49,8.8,0.0,0.0,555.0,12,False
6156X,2026-07-28 00:00:00+00:00,31.2,26.8,29.38,29.0,61.0,53.8,45.0,3.08,8.3,0.0,0.0,,12,False
6172Y,2026-07-28 00:00:00+00:00,29.4,26.0,27.92,27.7,69.0,64.0,59.0,1.73,4.9,0.0,0.0,,12,False
6175X,2026-07-28 00:00:00+00:00,30.7,27.6,29.31,29.15,64.0,61.6,59.0,,,0.0,0.0,,11,False
6199X,2026-07-28 00:00:00+00:00,33.1,27.2,30.7,30.15,58.0,52.0,47.0,2.07,6.0,0.0,0.0,,12,False
6201X,2026-07-28 00:00:00+00:00,30.7,26.5,29.35,28.6,63.0,60.5,58.0,2.42,6.3,0.0,0.0,,11,False
6205X,2026-07-28 00:00:00+00:00,26.9,23.8,25.6,25.35,77.0,74.2,71.0,4.18,6.0,0.0,0.0,,12,False
6213X,2026-07-28 00:00:00+00:00,31.1,26.6,28.89,28.85,68.0,62.1,55.0,1.55,4.8,0.0,0.0,,11,False
6248D,2026-07-28 00:00:00+00:00,28.1,19.5,24.97,23.8,61.0,45.6,32.0,1.32,5.0,,,,11,False
6258X,2026-07-28 00:00:00+00:00,30.5,22.2,28.05,26.35,63.0,47.6,39.0,,,0.0,0.0,,11,False
6267X,2026-07-28 00:00:00+00:00,32.6,26.4,30.34,29.5,67.0,56.3,48.0,2.12,7.7,0.0,0.0,,11,False
6268Y,2026-07-28 00:00:00+00:00,31.1,24.5,28.38,27.8,78.0,61.9,52.0,2.02,6.4,0.0,0.0,,12,False
6272X,2026-07-28 00:00:00+00:00,31.2,26.4,29.62,28.8,57.0,48.8,42.0,2.32,6.3,0.0,0.0,,11,False
6277C,2026-07-28 00:00:00+00:00,31.1,26.3,28.42,28.7,66.0,60.8,53.0,2.7,6.4,0.0,0.0,,12,False
6281X,2026-07-28 00:00:00+00:00,36.4,25.0,32.48,30.7,47.0,32.5,21.0,,,0.0,0.0,,11,False
6291B,2026-07-28 00:00:00+00:00,35.7,27.4,32.51,31.55,60.0,38.4,25.0,,,0.0,0.0,,12,False
6293X,2026-07-28 00:00:00+00:00,31.5,25.5,28.72,28.5,75.0,64.2,52.0,4.4,10.8,0.0,0.0,556.0,12,False
6299I,2026-07-28 00:00:00+00:00,26.8,21.2,24.84,24.0,37.0,31.2,26.0,4.53,9.6,,,,8,False
6302X,2026-07-28 00:00:00+00:00,35.4,25.4,31.32,30.4,51.0,29.1,18.0,5.69,11.9,0.0,0.0,,12,False
6307C,2026-07-28 00:00:00+00:00,30.1,22.3,26.62,26.2,44.0,31.0,24.0,1.6,6.1,,,,12,False
6307X,2026-07-28 00:00:00+00:00,31.6,22.8,27.99,27.2,44.0,29.6,22.0,2.8,7.6,0.0,0.0,,11,False
6312E,2026-07-28 00:00:00+00:00,36.1,26.4,31.88,31.25,50.0,32.0,20.0,3.0,8.7,0.0,0.0,,12,False
6325O,2026-07-28 00:00:00+00:00,37.5,28.4,33.79,32.95,66.0,38.5,24.0,9.33,16.0,0.0,0.0,,12,False
6335O,2026-07-28 00:00:00+00:00,34.6,22.1,30.22,28.35,58.0,31.7,20.0,3.01,8.9,0.0,0.0,,12,False
6340X,2026-07-28 00:00:00+00:00,30.3,27.3,28.98,28.8,79.0,69.5,60.0,4.86,9.2,0.0,0.0,,12,False
6364X,2026-07-28 00:00:00+00:00,36.1,26.6,32.52,31.35,62.0,43.3,32.0,3.51,9.0,0.0,0.0,,11,False
6367X,2026-07-28 00:00:00+00:00,34.7,24.9,30.89,29.8,74.0,50.1,37.0,3.18,8.5,0.0,0.0,,12,False
6375X,2026-07-28 00:00:00+00:00,33.8,27.4,31.39,30.6,37.0,19.4,14.0,7.02,14.1,0.0,0.0,,11,False
7002Y,2026-07-28 00:00:00+00:00,32.8,27.4,30.22,30.1,70.0,54.3,43.0,4.56,10.5,0.0,0.0,538.0,12,False
7007Y,2026-07-28 00:00:00+00:00,34.2,27.3,31.77,30.75,72.0,49.5,40.0,4.61,10.2,0.0,0.0,,11,False
7012D,2026-07-28 00:00:00+00:00,31.2,26.9,29.41,29.05,78.0,61.5,54.0,3.64,8.8,0.0,0.0,,11,False
7012X,2026-07-28 00:00:00+00:00,33.6,28.2,31.19,30.9,75.0,58.1,49.0,3.2,8.5,0.0,0.0,,12,False
7019X,2026-07-28 00:00:00+00:00,30.8,27.3,29.54,29.05,79.0,68.5,63.0,5.36,8.2,0.0,0.0,,11,False
7023X,2026-07-28 00:00:00+00:00,33.3,27.7,31.3,30.5,71.0,49.4,37.0,,,0.0,0.0,,11,False
7026X,2026-07-28 00:00:00+00:00,32.3,26.7,30.05,29.5,79.0,61.2,51.0,2.78,8.1,0.0,0.0,,12,False
7031X,2026-07-28 00:00:00+00:00,31.1,27.1,29.3,29.1,79.0,68.4,61.0,5.47,15.4,0.0,0.0,563.0,12,False
7066Y,2026-07-28 00:00:00+00:00,35.8,24.9,32.06,30.35,56.0,35.2,27.0,,,0.0,0.0,,12,False
7067Y,2026-07-28 00:00:00+00:00,32.0,23.7,29.29,27.85,49.0,28.0,22.0,,,0.0,0.0,,11,False
7072Y,2026-07-28 00:00:00+00:00,33.6,23.9,30.96,28.75,57.0,41.1,34.0,,,0.0,0.0,,9,False
7080X,2026-07-28 00:00:00+00:00,31.8,24.5,29.62,28.15,51.0,42.6,38.0,,,0.0,0.0,,11,False
7096B,2026-07-28 00:00:00+00:00,34.4,24.8,30.34,29.6,51.0,34.2,27.0,3.3,8.4,0.0,0.0,,12,False
7103Y,2026-07-28 00:00:00+00:00,34.8,26.0,30.82,30.4,54.0,37.2,32.0,,,0.0,0.0,,12,False
7119B,2026-07-28 00:00:00+00:00,33.7,22.1,29.72,27.9,61.0,42.5,35.0,2.51,7.5,0.0,0.0,538.0,12,False
7121A,2026-07-28 00:00:00+00:00,34.9,27.3,32.35,31.1,51.0,35.2,25.0,3.91,9.3,0.0,0.0,,11,False
7127X,2026-07-28 00:00:00+00:00,32.0,25.3,29.49,28.65,57.0,48.2,41.0,,,0.0,0.0,,11,False
7138B,2026-07-28 00:00:00+00:00,35.0,27.1,31.87,31.05,55.0,40.3,31.0,2.84,8.7,0.0,0.0,,11,False
7145X,2026-07-28 00:00:00+00:00,36.1,27.0,32.56,31.55,68.0,38.9,26.0,5.23,11.0,0.0,0.0,,12,False
7158X,2026-07-28 00:00:00+00:00,35.2,27.7,32.44,31.45,61.0,44.5,36.0,,,0.0,0.0,,11,False
7168X,2026-07-28 00:00:00+00:00,34.1,25.3,30.83,29.7,70.0,45.1,34.0,3.52,8.5,0.0,0.0,,12,False
7178I,2026-07-28 00:00:00+00:00,34.6,27.1,31.58,30.85,74.0,46.0,28.0,4.04,8.8,0.0,0.0,572.5,12,False
7195X,2026-07-28 00:00:00+00:00,32.0,23.7,29.18,27.85,50.0,36.2,29.0,,,0.0,0.0,,11,False
7203A,2026-07-28 00:00:00+00:00,35.2,24.2,30.88,29.7,56.0,39.2,31.0,3.22,10.3,0.0,0.0,,12,False
