indicativo,lat,lon,alt,ubi
5107D,37.179936,-2.986406,1197.0,DÓLAR
5112X,37.311944,-3.129722,916.5,GUADIX
5164B,37.996668,-3.461951,771.0,BAEZA
5165X,37.780842,-3.563581,910.0,TORRES
5181D,38.314753,-2.889764,580.0,ARROYO DEL OJANCO
5192,38.489252,-2.637568,862.0,VILLARRODRIGO
5210X,38.175001,-2.998059,680.0,VILLANUEVA DEL ARZOBISPO
5246,38.344449,-3.535273,770.0,SANTA ELENA
5270B,37.7775,-3.809167,580.0,JAÉN
5281X,38.092984,-3.782624,345.0,BAILÉN
5298X,38.023054,-4.063333,202.0,ANDÚJAR
5304Y,38.668889,-4.059165,665.0,PUERTOLLANO
5341C,38.428888,-4.301663,710.0,FUENCALIENTE
5346X,38.186671,-4.272506,720.0,CARDEÑA (SANTA ELENA - AUTOMATICA)
5361X,38.01333,-4.330275,155.0,MONTORO VEGA ARMIJO
5390Y,38.333056,-4.608886,750.0,VILLANUEVA DE CÓRDOBA
5394X,38.020835,-4.796664,525.0,CORDOBA  EMBALSE DE GUADANUÑO
5402,37.848891,-4.846558,90.0,CÓRDOBA/AEROPUERTO
5406X,37.497489,-3.908059,908.0,CHARILLA
5412X,37.484728,-4.207785,550.0,PRIEGO DE CÓRDOBA  SAN FELIX
5427X,37.556113,-4.353893,650.0,DOÑA MENCIA
5429X,37.810392,-4.462227,275.0,CÓRDOBA  PRAGDENA
5459X,38.111111,-4.928728,465.0,ESPIEL-C.TÉRMICA
